Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,1,Import,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,7,,3940296,,,0
H4,2013,2013,2013,4,0,1,Import,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,77,,5685316,,,0
H4,2013,2013,2013,4,0,1,Import,826,United Kingdom,GBR,710,South Africa,ZAF,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,22,,52437957,,,0
H4,2014,2014,2014,4,0,1,Import,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,107,,8123773,,,4
H4,2014,2014,2014,4,0,1,Import,826,United Kingdom,GBR,710,South Africa,ZAF,,,,,,,,7102,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin // Diamonds, whether or not worked, but not mounted or set.",1,No Quantity,,,,,8,,4016888,,,4
